seed,episode,reward_1458,reward_2259,reward_2821,clicks_1458,clicks_2259,clicks_2821,cost_1458,cost_2259,cost_2821
0,56,433.00407178141177,273.0176289267838,538.009727915749,438,278,543,999.19226,996.4715,998.06067
0,57,422.00407196581364,332.00039153918624,260.0036553982645,427,337,265,999.19226,999.91833,999.2649
0,58,435.00407174788415,596.0004389882088,201.00737052969635,440,601,206,999.19226,999.91437,998.5231
0,59,432.0034401923185,242.00002671033144,381.0115746296942,437,247,386,999.31854,999.9943,997.6907
0,60,422.00022980128415,781.0004871258279,0.0,427,786,0,999.9602,999.90735,0.0
0,61,439.00407168082893,783.0004871257115,0.0,444,788,0,999.19226,999.9081,0.0
0,62,424.004071932286,793.0001974646002,0.0,429,798,0,999.19226,999.9659,0.0
0,63,416.0040720663965,773.0097239762545,0.0,421,778,0,999.19226,998.06067,0.0
0,64,419.00407201610506,790.0097236912698,0.0,424,795,0,999.19226,998.06067,0.0
0,65,415.0040720831603,780.004065964371,134.00657996162772,420,785,139,999.19226,999.19226,998.6867
0,66,409.0040721837431,788.0068553369492,207.00737059116364,414,793,212,999.19226,998.6344,998.5231
0,67,394.0040724352002,806.004065528512,205.00737057067454,399,811,210,999.19226,999.19226,998.5231
0,68,393.004072451964,790.0040657967329,201.0012126341462,398,795,206,999.19226,999.19226,999.75464
0,69,423.00407194904983,797.0027762521058,199.00508103554603,428,802,204,999.19226,999.45013,998.98096
0,70,414.00122996850405,210.01963525265455,276.000262634363,419,215,281,999.76025,996.0759,999.9478
0,71,390.00407250225544,223.01963547058403,545.0097277984023,395,228,550,999.19226,996.0759,998.06067
0,72,421.0012825089507,221.01963543705642,547.0000698241638,426,226,552,999.7501,996.0759,999.99207
0,73,454.0031500203768,230.01963558793068,540.0002277767053,459,235,545,999.3742,996.0759,999.9602
0,74,603.0051726504462,223.01963547058403,525.0002280215267,608,228,530,998.9589,996.0759,999.9602
0,75,480.004702063743,229.01963557116687,562.0003852430964,485,234,567,999.0625,996.0759,999.92834
0,76,1723.26709239895,302.0168170398101,490.0040708258748,1727,307,495,746.54865,996.6386,999.19226
0,77,1244.0051046082517,387.02110474929214,494.0000707259169,1249,392,499,998.9568,995.7776,999.99207
0,78,1681.4981453905348,452.01720875129104,438.00407169759274,1684,457,443,500.38254,996.55884,999.19226
0,79,649.0003297023941,534.0214982051402,416.0000720467651,654,539,421,999.9269,995.7048,999.99207
0,80,416.0042299347697,467.017738497816,465.0000712253386,421,472,470,999.16046,996.45636,999.99207
0,81,432.0053875282174,493.02136867307127,462.000071255723,437,498,467,998.929,995.7306,999.99207
0,82,589.0049099845346,468.0168169653043,462.00007124245167,594,473,467,999.0186,996.6406,999.99207
0,83,494.0002542893635,449.016211588867,453.00007141323294,499,454,458,999.9526,996.7611,999.99207
0,84,688.0052760852268,395.016550607048,469.0000711582834,693,400,474,998.94226,996.68994,999.99207
0,85,556.0023319204338,383.0116541488096,475.00007103115786,561,388,480,999.53644,997.6686,999.99207
0,86,751.0001429822296,501.0233154380694,443.000071580871,756,506,448,999.96405,995.3413,999.99207
0,87,425.00472978386097,458.0177384726703,450.000071450253,430,463,455,999.0607,996.45636,999.99207
0,88,897.0005078009563,460.01773847825825,446.00007153721526,902,465,451,999.882,996.45636,999.99207
0,89,462.0026499062078,457.01773846987635,466.0000712085748,467,462,471,999.47687,996.45636,999.99207
0,90,1673.052120206994,466.01773849502206,447.0040715467185,1677,471,452,789.50934,996.45636,999.19226
0,91,1674.4241192936897,472.01773851178586,453.00407144613564,1677,477,458,515.1883,996.45636,999.19226
0,92,1653.9295931212837,464.0177384894341,464.00407126173377,1656,469,469,414.0902,996.45636,999.19226
0,93,1666.5627246199874,468.0171065265313,454.00407142937183,1669,473,459,487.46802,996.5828,999.19226
0,94,1661.0275929078925,463.01773848664016,451.00407147966325,1663,468,456,394.48868,996.45636,999.19226
0,95,1614.0554361041868,523.0195515584201,437.00407171435654,1616,528,442,388.92,996.0943,999.19226
0,96,1325.0028148560086,491.02323700208217,457.00007133954205,1330,496,462,999.39594,995.357,999.99207
0,97,1620.593462791061,467.02118139062077,459.0040713455528,1623,472,464,481.32053,995.768,999.19226
0,98,1726.9859597933246,425.01423401385546,457.0040713790804,1729,430,462,402.81558,997.15894,999.19226
0,99,1621.8382781094406,495.0200780062005,451.00407147966325,1624,500,456,432.35486,995.98883,999.19226
0,100,427.0015454143286,409.0053890515119,492.0004391273251,432,414,497,999.6975,998.9269,999.91815
