episode,seed,steps,total_clicks,total_wins,total_cost,ppo_epochs_run,clicks_1458,wins_1458,cost_1458,util_1458,lambda_1458,ent_thr_1458,ent_res_1458,kl_1458,ratio_max_1458,clicks_2259,wins_2259,cost_2259,util_2259,lambda_2259,ent_thr_2259,ent_res_2259,kl_2259,ratio_max_2259,clicks_3386,wins_3386,cost_3386,util_3386,lambda_3386,ent_thr_3386,ent_res_3386,kl_3386,ratio_max_3386,clicks_2997,wins_2997,cost_2997,util_2997,lambda_2997,ent_thr_2997,ent_res_2997,kl_2997,ratio_max_2997,clicks_3476,wins_3476,cost_3476,util_3476,lambda_3476,ent_thr_3476,ent_res_3476,kl_3476,ratio_max_3476
21,1,125000,934,10126,246169.7109375,4,180,1928,49960.82421875,99.92166137695312,99.80640411376953,3.915631055831909,2.384554624557495,0.0007221198175102472,1.101994514465332,201,2214,49204.28515625,98.40862274169922,22.42708396911621,3.9107537269592285,2.3711416721343994,0.00040109394467435777,1.0720691680908203,162,1836,48821.17578125,97.64236450195312,17.59400177001953,3.9277050495147705,2.39435076713562,5.316257374943234e-05,1.0227277278900146,203,2290,49943.33203125,99.88663482666016,0.7582576274871826,3.9103829860687256,2.3729465007781982,0.0008536481764167547,1.0899475812911987,188,1858,48240.09375,96.48016357421875,2.0805909633636475,3.905524730682373,2.376296281814575,0.00029112337506376207,1.05729341506958
22,1,125000,836,8382,247517.421875,4,176,1975,49163.5625,98.3271713256836,41.69005584716797,3.9187583923339844,2.3875718116760254,0.0002869462769012898,1.0435583591461182,86,696,49260.390625,98.5207290649414,2.8358354568481445,3.9151134490966797,2.3781368732452393,0.00021805285359732807,1.0518784523010254,185,1788,49322.5,98.6450424194336,56.32289123535156,3.928354501724243,2.395129919052124,7.715225365245715e-05,1.0350172519683838,208,2026,49779.078125,99.55805969238281,6.922327995300293,3.908569812774658,2.3689606189727783,0.0008622550521977246,1.0757043361663818,181,1897,49991.890625,99.98380279541016,4.178163528442383,3.909454822540283,2.3788414001464844,0.0002452731132507324,1.0527013540267944
23,1,125000,1016,8817,249269.73046875,4,203,1895,49997.140625,99.99427032470703,99.99881744384766,3.918644428253174,2.3871209621429443,0.0001062059382093139,1.0257841348648071,221,1732,49999.39453125,99.99876403808594,0.8588317632675171,3.9093117713928223,2.372025489807129,0.00029188633197918534,1.0590265989303589,187,1558,49905.6640625,99.81129455566406,98.8886947631836,3.9282238483428955,2.3951573371887207,8.674621494719759e-05,1.0433269739151,192,1579,49956.00390625,99.91204833984375,0.9892024397850037,3.9013590812683105,2.3582897186279297,0.0006869554636068642,1.0747203826904297,213,2053,49411.52734375,98.82304382324219,64.84431457519531,3.9071550369262695,2.377591371536255,0.0005035257199779153,1.0916600227355957
24,1,125000,832,8447,246677.1484375,4,150,1645,48535.296875,97.07058715820312,4.629450798034668,3.919145345687866,2.3866097927093506,0.00033371924655511975,1.0542707443237305,199,2257,49035.9609375,98.07191467285156,31.27945327758789,3.9089183807373047,2.3715922832489014,0.00017972945352084935,1.047860026359558,156,1434,49354.68359375,98.7093276977539,1.9609065055847168,3.9280974864959717,2.395376205444336,8.558988338336349e-05,1.034440040588379,183,1683,49762.43359375,99.52490234375,0.01875150576233864,3.896334409713745,2.352914333343506,0.0008916449151001871,1.0892000198364258,144,1428,49988.7734375,99.97757720947266,38.72187042236328,3.9080615043640137,2.3795318603515625,0.0003025126352440566,1.059601902961731
25,1,125000,689,6545,248855.46875,4,105,1133,49972.359375,99.94464874267578,99.90293884277344,3.919438123703003,2.3854928016662598,0.0003798985271714628,1.098990797996521,180,1722,49991.0703125,99.98217010498047,60.890769958496094,3.910630464553833,2.3742854595184326,0.00021036148245912045,1.0387595891952515,195,1811,49995.6796875,99.99134826660156,9.067985534667969,3.927666187286377,2.3951797485351562,7.695674867136404e-05,1.0315004587173462,93,778,49984.3046875,99.9686279296875,99.96845245361328,3.897432565689087,2.35520339012146,0.0008042931440286338,1.0856430530548096,116,1101,48912.0546875,97.8240737915039,22.760807037353516,3.9116370677948,2.383246660232544,0.00037369728670455515,1.107500433921814
26,1,125000,836,8323,247118.16015625,4,162,1516,49994.99609375,99.98997497558594,99.99662780761719,3.916395902633667,2.3815183639526367,0.00019219874229747802,1.0425348281860352,167,1492,49995.9609375,99.9919204711914,99.99777221679688,3.9116454124450684,2.3769783973693848,0.00031413554097525775,1.0795427560806274,144,1079,49259.234375,98.51846313476562,50.34392166137695,3.927072286605835,2.395017623901367,0.00012960672029294074,1.0400601625442505,180,2145,48735.34765625,97.47069549560547,10.34543228149414,3.887010335922241,2.3444926738739014,0.0009709095465950668,1.1120381355285645,183,2091,49132.62109375,98.26522827148438,39.027976989746094,3.9087512493133545,2.3811569213867188,0.00019218443776480854,1.069872260093689
27,1,125000,825,7851,248228.859375,4,186,2138,49167.1171875,98.3342514038086,4.03403377532959,3.913137674331665,2.3771469593048096,0.00036141157033853233,1.051018238067627,130,1217,49149.91015625,98.29979705810547,40.50381088256836,3.9121830463409424,2.3788108825683594,0.0005514693330042064,1.0802797079086304,173,1325,49945.3359375,99.89064025878906,1.249437689781189,3.925614595413208,2.394199848175049,0.00020190715440548956,1.0380390882492065,156,1423,49976.65625,99.95329284667969,1.6918327808380127,3.8748557567596436,2.3339462280273438,0.0009750771569088101,1.1101526021957397,180,1748,49989.83984375,99.97968292236328,2.214836597442627,3.9054582118988037,2.3787925243377686,0.00034711597254499793,1.0396093130111694
28,1,125000,1044,9480,246708.453125,4,184,1584,49109.9453125,98.21990966796875,37.132503509521484,3.9112792015075684,2.3744192123413086,0.0005737471510656178,1.0879350900650024,205,1899,49997.55078125,99.99505615234375,99.99910736083984,3.9110538959503174,2.3787710666656494,0.00037508009700104594,1.0615712404251099,186,1448,49983.84765625,99.96764373779297,30.66624641418457,3.9236204624176025,2.3929104804992676,8.760213677305728e-05,1.0405839681625366,218,2275,48547.45703125,97.09487915039062,3.8652355670928955,3.8612706661224365,2.3239586353302,0.001076550455763936,1.11421537399292,251,2274,49069.65234375,98.13936614990234,17.17511558532715,3.901758909225464,2.377171039581299,0.0002849102020263672,1.0392451286315918
29,1,125000,1049,10334,247575.3515625,4,202,1983,49954.76953125,99.9095458984375,1.1374785900115967,3.916835308074951,2.3820552825927734,0.00014752864080946892,1.029961109161377,192,1544,48294.390625,96.58880615234375,2.5548348426818848,3.9135866165161133,2.381989002227783,0.00016862154006958008,1.0597529411315918,241,2121,49997.33984375,99.99468231201172,99.99899291992188,3.9251813888549805,2.3936944007873535,5.530595808522776e-05,1.0225000381469727,211,2501,49712.94921875,99.42583465576172,55.932456970214844,3.864530563354492,2.3339250087738037,0.0020918797235935926,1.1391289234161377,203,2185,49615.90234375,99.23189544677734,18.076671600341797,3.9089372158050537,2.382953643798828,0.00035882709198631346,1.0529870986938477
30,1,125000,868,8643,248163.25,4,136,1313,49878.98828125,99.75794219970703,98.17977905273438,3.9180662631988525,2.382770538330078,0.00025966644170694053,1.055783987045288,146,1333,49995.48828125,99.990966796875,5.896349906921387,3.9140563011169434,2.3823797702789307,0.0002993535890709609,1.05711030960083,157,1807,48485.88671875,96.9718246459961,2.24688720703125,3.9259800910949707,2.394052505493164,5.5327414884231985e-05,1.0291244983673096,185,1520,49827.25390625,99.65455627441406,1.1289244890213013,3.862093448638916,2.3403913974761963,0.0008504080469720066,1.0839892625808716,244,2670,49975.6328125,99.9512939453125,1.280483365058899,3.909308910369873,2.383502960205078,0.00025527714751660824,1.0579469203948975
