episode,seed,steps,total_clicks,total_wins,total_cost,clicks_1458,wins_1458,cost_1458,util_1458,lambda_1458,ent_thr_1458,ent_res_1458,clicks_2259,wins_2259,cost_2259,util_2259,lambda_2259,ent_thr_2259,ent_res_2259,clicks_3386,wins_3386,cost_3386,util_3386,lambda_3386,ent_thr_3386,ent_res_3386,clicks_2997,wins_2997,cost_2997,util_2997,lambda_2997,ent_thr_2997,ent_res_2997,clicks_3476,wins_3476,cost_3476,util_3476,lambda_3476,ent_thr_3476,ent_res_3476
29,0,125000,1120,9971,248869.32421875,232,2228,49975.2890625,99.95063018798828,99.92263793945312,3.872176170349121,2.3194150924682617,234,2126,49988.48046875,99.97687530517578,3.2140986919403076,3.860090970993042,2.352339267730713,238,2199,49871.2109375,99.74246978759766,97.94225311279297,3.8686983585357666,2.2704200744628906,220,1692,49806.2265625,99.61248016357422,11.30692195892334,3.893021821975708,2.3615167140960693,196,1726,49228.1171875,98.4561767578125,39.94303894042969,3.8067574501037598,2.221015453338623
30,0,125000,749,8886,246971.66015625,134,1573,49634.828125,99.26969146728516,2.0705063343048096,3.8324198722839355,2.262789011001587,161,1915,49996.765625,99.9935531616211,99.99855041503906,3.830833911895752,2.323796510696411,146,1797,48636.765625,97.27350616455078,9.646676063537598,3.833956480026245,2.185035228729248,182,2231,49991.7109375,99.98344421386719,4.221065521240234,3.872927188873291,2.342125415802002,126,1370,48711.58984375,97.42316436767578,2.4880659580230713,3.734825849533081,2.103289842605591
31,0,125000,676,7888,249882.98046875,97,984,49992.328125,99.98468017578125,99.9922866821289,3.850027322769165,2.273935317993164,155,2117,49996.828125,99.99365234375,10.308396339416504,3.8398306369781494,2.3223955631256104,181,1998,49984.59765625,99.96919250488281,3.9259796142578125,3.8586206436157227,2.2303085327148438,105,1171,49919.08203125,99.83811950683594,99.18041229248047,3.8783459663391113,2.3548583984375,138,1618,49990.14453125,99.98027801513672,7.458576679229736,3.7556204795837402,2.1073813438415527
32,0,125000,1044,9533,249906.73828125,198,1866,49990.21875,99.98039245605469,3.0739448070526123,3.8408937454223633,2.2440757751464844,258,2549,49993.796875,99.98760223388672,99.99491119384766,3.8281173706054688,2.3003900051116943,193,1615,49984.453125,99.96892547607422,9.368180274963379,3.843618392944336,2.1873891353607178,191,1890,49996.94140625,99.99382781982422,99.99866485595703,3.866306781768799,2.345332145690918,204,1613,49941.328125,99.8826675415039,0.924527108669281,3.721195697784424,2.0588531494140625
33,0,125000,870,8527,248716.7265625,145,1198,49985.73828125,99.97151184082031,99.97392272949219,3.805868148803711,2.20371150970459,186,2177,49995.4375,99.99088287353516,99.99716186523438,3.798429012298584,2.2743313312530518,224,2207,48896.25390625,97.7925033569336,18.265363693237305,3.7984440326690674,2.06998610496521,177,1660,49923.05078125,99.84614562988281,99.25921630859375,3.8425838947296143,2.3256616592407227,138,1285,49916.24609375,99.83255004882812,2.410280704498291,3.642387628555298,2.0165820121765137
34,0,125000,680,7353,247209.234375,124,1470,49990.80859375,99.98159790039062,99.98897552490234,3.7856674194335938,2.191506862640381,151,1761,49996.96875,99.99392700195312,6.131686687469482,3.7778725624084473,2.2528626918792725,160,1512,49530.1015625,99.06021118164062,4.124479293823242,3.770857334136963,2.062652587890625,123,1491,49116.19140625,98.23233032226562,37.64756393432617,3.8330435752868652,2.3223626613616943,122,1119,48575.1640625,97.1503677368164,7.899709701538086,3.5960731506347656,1.9456225633621216
35,0,125000,934,8968,247981.96484375,71,631,48604.44140625,97.2088851928711,8.758368492126465,3.6671485900878906,2.119762897491455,199,1961,49996.43359375,99.99288940429688,36.193153381347656,3.6656949520111084,2.1069602966308594,263,2611,49623.12890625,99.24627685546875,16.339611053466797,3.5650885105133057,1.8747751712799072,205,1867,49998.19921875,99.99636840820312,9.890880584716797,3.7321319580078125,2.2687149047851562,196,1898,49759.76171875,99.51957702636719,93.02996063232422,3.431241512298584,1.6327470541000366
36,0,125000,579,6207,248578.65625,154,1375,49968.93359375,99.9378890991211,1.4701894521713257,3.7674803733825684,2.2421486377716064,63,958,49896.53515625,99.79301452636719,98.66497039794922,3.7567179203033447,2.2226977348327637,118,1464,48734.98046875,97.46991729736328,13.51942253112793,3.7155144214630127,2.1172261238098145,120,1379,49982.3671875,99.96475219726562,7.086809158325195,3.8092031478881836,2.338489532470703,124,1031,49995.83984375,99.99169921875,79.40278625488281,3.585310220718384,1.891145944595337
37,0,125000,1030,9867,247795.18359375,151,1348,49699.40234375,99.3987808227539,1.0562654733657837,3.6728432178497314,2.1434483528137207,186,1690,49991.92578125,99.98383331298828,3.2968266010284424,3.7068066596984863,2.1980369091033936,214,2054,48951.71875,97.9034423828125,1.635321021080017,3.638214588165283,2.033611297607422,248,2247,49990.7734375,99.98159790039062,99.98898315429688,3.7664318084716797,2.319685935974121,231,2528,49161.36328125,98.32266235351562,6.542217254638672,3.498502492904663,1.6194926500320435
38,0,125000,1078,9980,247924.3984375,180,1711,49996.578125,99.99320220947266,3.648111343383789,3.7123117446899414,2.2022507190704346,239,2669,47967.3515625,95.93466186523438,0.0511031337082386,3.7560904026031494,2.2472121715545654,248,2302,49984.2890625,99.96852111816406,49.67285919189453,3.721096992492676,2.1309874057769775,210,1650,49996.328125,99.99259948730469,3.368091106414795,3.8000166416168213,2.3398818969726562,201,1648,49979.8515625,99.95977020263672,2.5952343940734863,3.551234245300293,1.740864634513855
